runtime,model_name,image_path,iteration,detected_labels,detections,confidence,inference_latency_ms,total_latency_ms,session_init_latency_ms,ok,error
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,14,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.44,28.4,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,15,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.59,28.13,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,16,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.46,28.57,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,17,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.53,28.9,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,18,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.58,28.85,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,19,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.62,28.64,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,20,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.48,28.52,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,21,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.59,29.26,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,22,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.48,28.67,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,23,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.43,28.48,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,24,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.5,28.47,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,25,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.57,29.08,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,26,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.46,29.17,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,27,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.66,28.85,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,28,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.64,29.57,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,29,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.69,28.95,200.44,True,
yolo_tensorrt_fp16,yolov8n_tensorrt_fp16,/home/rainbow/edge-llm-bench/results/figures/camera_v05_positive_detection.jpg,30,"[""bed""]","[{""label"": ""bed"", ""confidence"": 0.7388, ""box"": [2, 58, 1032, 719]}]",0.7388,14.54,29.12,200.44,True,
